record_type,domain,graph_id,family_id,family_name,node_id,node_name,node_slug,node_implementation_state,node_directory,support_tier,maturity_state,supported_profiles,evidence_class,node_package_shape,dependency_count,declared_artifact_file_count,artifact_file_count,status_count,statuses,verification_gate_count,verification_gate_types,failure_mode_count,direct_accuracy_threshold,explanation_required,transfer_required,retention_check_days,relationship_type,dependency_id,dependency_name,dependency_slug
node,mathematics,master_knowledge_graph,Z,zero_state_and_precounting,Z1,attention_to_quantity,z1-attention-to-quantity,implemented,z1-attention-to-quantity,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,0,0,14,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.9,true,true,14,,,,
node,mathematics,master_knowledge_graph,Z,zero_state_and_precounting,Z2,match_and_sort_objects,z2-match-and-sort-objects,implemented,z2-match-and-sort-objects,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,1,0,14,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.9,true,true,14,,,,
dependency,mathematics,master_knowledge_graph,Z,zero_state_and_precounting,Z2,match_and_sort_objects,z2-match-and-sort-objects,implemented,z2-match-and-sort-objects,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,1,0,14,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.9,true,true,14,DEPENDS_ON,Z1,attention_to_quantity,z1-attention-to-quantity
node,mathematics,master_knowledge_graph,Z,zero_state_and_precounting,Z3,pattern_and_sequence_readiness,z3-pattern-and-sequence-readiness,implemented,z3-pattern-and-sequence-readiness,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,1,0,14,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.9,true,true,14,,,,
dependency,mathematics,master_knowledge_graph,Z,zero_state_and_precounting,Z3,pattern_and_sequence_readiness,z3-pattern-and-sequence-readiness,implemented,z3-pattern-and-sequence-readiness,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,1,0,14,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.9,true,true,14,DEPENDS_ON,Z2,match_and_sort_objects,z2-match-and-sort-objects
node,mathematics,master_knowledge_graph,C,counting_and_cardinality,C1,stable_counting_sequence,c1-stable-counting-sequence,implemented,c1-stable-counting-sequence,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,1,0,14,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.9,true,true,14,,,,
dependency,mathematics,master_knowledge_graph,C,counting_and_cardinality,C1,stable_counting_sequence,c1-stable-counting-sequence,implemented,c1-stable-counting-sequence,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,1,0,14,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.9,true,true,14,DEPENDS_ON,Z2,match_and_sort_objects,z2-match-and-sort-objects
node,mathematics,master_knowledge_graph,C,counting_and_cardinality,C2,one_to_one_correspondence,c2-one-to-one-correspondence,implemented,c2-one-to-one-correspondence,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,1,0,14,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.9,true,true,14,,,,
dependency,mathematics,master_knowledge_graph,C,counting_and_cardinality,C2,one_to_one_correspondence,c2-one-to-one-correspondence,implemented,c2-one-to-one-correspondence,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,1,0,14,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.9,true,true,14,DEPENDS_ON,C1,stable_counting_sequence,c1-stable-counting-sequence
node,mathematics,master_knowledge_graph,C,counting_and_cardinality,C3,cardinality,c3-cardinality,implemented,c3-cardinality,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,1,0,14,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.9,true,true,14,,,,
dependency,mathematics,master_knowledge_graph,C,counting_and_cardinality,C3,cardinality,c3-cardinality,implemented,c3-cardinality,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,1,0,14,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.9,true,true,14,DEPENDS_ON,C2,one_to_one_correspondence,c2-one-to-one-correspondence
node,mathematics,master_knowledge_graph,C,counting_and_cardinality,C4,compare_small_quantities,c4-compare-small-quantities,implemented,c4-compare-small-quantities,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,1,0,14,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.9,true,true,14,,,,
dependency,mathematics,master_knowledge_graph,C,counting_and_cardinality,C4,compare_small_quantities,c4-compare-small-quantities,implemented,c4-compare-small-quantities,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,1,0,14,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.9,true,true,14,DEPENDS_ON,C3,cardinality,c3-cardinality
node,mathematics,master_knowledge_graph,C,counting_and_cardinality,C5,numeral_recognition_and_writing_readiness,c5-numeral-recognition-and-writing-readiness,implemented,c5-numeral-recognition-and-writing-readiness,Core release,Drafted,upstream-readiness-node-package,,artifact-index-config,1,13,14,0,,0,,0,,,,,,,,
dependency,mathematics,master_knowledge_graph,C,counting_and_cardinality,C5,numeral_recognition_and_writing_readiness,c5-numeral-recognition-and-writing-readiness,implemented,c5-numeral-recognition-and-writing-readiness,Core release,Drafted,upstream-readiness-node-package,,artifact-index-config,1,13,14,0,,0,,0,,,,,DEPENDS_ON,C3,cardinality,c3-cardinality
node,mathematics,master_knowledge_graph,C,counting_and_cardinality,C6,quantity_symbol_correspondence,c6-quantity-symbol-correspondence,implemented,c6-quantity-symbol-correspondence,Core release,Drafted,upstream-readiness-node-package,,artifact-index-config,2,13,14,0,,0,,0,,,,,,,,
dependency,mathematics,master_knowledge_graph,C,counting_and_cardinality,C6,quantity_symbol_correspondence,c6-quantity-symbol-correspondence,implemented,c6-quantity-symbol-correspondence,Core release,Drafted,upstream-readiness-node-package,,artifact-index-config,2,13,14,0,,0,,0,,,,,DEPENDS_ON,C4,compare_small_quantities,c4-compare-small-quantities
dependency,mathematics,master_knowledge_graph,C,counting_and_cardinality,C6,quantity_symbol_correspondence,c6-quantity-symbol-correspondence,implemented,c6-quantity-symbol-correspondence,Core release,Drafted,upstream-readiness-node-package,,artifact-index-config,2,13,14,0,,0,,0,,,,,DEPENDS_ON,C5,numeral_recognition_and_writing_readiness,c5-numeral-recognition-and-writing-readiness
