record_type,domain,graph_id,family_id,family_name,node_id,node_name,node_slug,node_implementation_state,node_directory,support_tier,maturity_state,supported_profiles,evidence_class,node_package_shape,dependency_count,declared_artifact_file_count,artifact_file_count,status_count,statuses,verification_gate_count,verification_gate_types,failure_mode_count,direct_accuracy_threshold,explanation_required,transfer_required,retention_check_days,relationship_type,dependency_id,dependency_name,dependency_slug
node,social_studies,master_knowledge_graph,A,advanced_secondary_synthesis_and_public_argument,A1,interdisciplinary_research_and_evidence_synthesis,a1-interdisciplinary-research-and-evidence-synthesis,drafted,a1-interdisciplinary-research-and-evidence-synthesis,Incubation,Drafted,social-studies-interdisciplinary-synthesis-node-package,Synthetic,mastery-node-config,5,0,15,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,14,,,,
dependency,social_studies,master_knowledge_graph,A,advanced_secondary_synthesis_and_public_argument,A1,interdisciplinary_research_and_evidence_synthesis,a1-interdisciplinary-research-and-evidence-synthesis,drafted,a1-interdisciplinary-research-and-evidence-synthesis,Incubation,Drafted,social-studies-interdisciplinary-synthesis-node-package,Synthetic,mastery-node-config,5,0,15,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,14,DEPENDS_ON,H5,thematic_historical_analysis_and_periodization,h5-thematic-historical-analysis-and-periodization
dependency,social_studies,master_knowledge_graph,A,advanced_secondary_synthesis_and_public_argument,A1,interdisciplinary_research_and_evidence_synthesis,a1-interdisciplinary-research-and-evidence-synthesis,drafted,a1-interdisciplinary-research-and-evidence-synthesis,Incubation,Drafted,social-studies-interdisciplinary-synthesis-node-package,Synthetic,mastery-node-config,5,0,15,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,14,DEPENDS_ON,C5,comparative_government_and_civic_action,c5-comparative-government-and-civic-action
dependency,social_studies,master_knowledge_graph,A,advanced_secondary_synthesis_and_public_argument,A1,interdisciplinary_research_and_evidence_synthesis,a1-interdisciplinary-research-and-evidence-synthesis,drafted,a1-interdisciplinary-research-and-evidence-synthesis,Incubation,Drafted,social-studies-interdisciplinary-synthesis-node-package,Synthetic,mastery-node-config,5,0,15,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,14,DEPENDS_ON,G5,global_interdependence_migration_and_sustainability,g5-global-interdependence-migration-and-sustainability
dependency,social_studies,master_knowledge_graph,A,advanced_secondary_synthesis_and_public_argument,A1,interdisciplinary_research_and_evidence_synthesis,a1-interdisciplinary-research-and-evidence-synthesis,drafted,a1-interdisciplinary-research-and-evidence-synthesis,Incubation,Drafted,social-studies-interdisciplinary-synthesis-node-package,Synthetic,mastery-node-config,5,0,15,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,14,DEPENDS_ON,E5,macroeconomic_patterns_global_trade_and_finance_basics,e5-macroeconomic-patterns-global-trade-and-finance-basics
dependency,social_studies,master_knowledge_graph,A,advanced_secondary_synthesis_and_public_argument,A1,interdisciplinary_research_and_evidence_synthesis,a1-interdisciplinary-research-and-evidence-synthesis,drafted,a1-interdisciplinary-research-and-evidence-synthesis,Incubation,Drafted,social-studies-interdisciplinary-synthesis-node-package,Synthetic,mastery-node-config,5,0,15,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,14,DEPENDS_ON,Q6,synthesis_argument_and_public_communication,q6-synthesis-argument-and-public-communication
node,social_studies,master_knowledge_graph,A,advanced_secondary_synthesis_and_public_argument,A1A,interdisciplinary_research_and_evidence_synthesis_foundations_and_examples,a1a-interdisciplinary-research-and-evidence-synthesis-foundations-and-examples,drafted,a1a-interdisciplinary-research-and-evidence-synthesis-foundations-and-examples,Incubation,Drafted,capstone-decomposition-node-package,Synthetic,mastery-node-config,0,0,15,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,14,,,,
node,social_studies,master_knowledge_graph,A,advanced_secondary_synthesis_and_public_argument,A1B,interdisciplinary_research_and_evidence_synthesis_classification_and_organization,a1b-interdisciplinary-research-and-evidence-synthesis-classification-and-organization,drafted,a1b-interdisciplinary-research-and-evidence-synthesis-classification-and-organization,Incubation,Drafted,capstone-decomposition-node-package,Synthetic,mastery-node-config,1,0,15,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,14,,,,
dependency,social_studies,master_knowledge_graph,A,advanced_secondary_synthesis_and_public_argument,A1B,interdisciplinary_research_and_evidence_synthesis_classification_and_organization,a1b-interdisciplinary-research-and-evidence-synthesis-classification-and-organization,drafted,a1b-interdisciplinary-research-and-evidence-synthesis-classification-and-organization,Incubation,Drafted,capstone-decomposition-node-package,Synthetic,mastery-node-config,1,0,15,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,14,DEPENDS_ON,A1A,interdisciplinary_research_and_evidence_synthesis_foundations_and_examples,a1a-interdisciplinary-research-and-evidence-synthesis-foundations-and-examples
node,social_studies,master_knowledge_graph,A,advanced_secondary_synthesis_and_public_argument,A1C,interdisciplinary_research_and_evidence_synthesis_explanation_and_application,a1c-interdisciplinary-research-and-evidence-synthesis-explanation-and-application,drafted,a1c-interdisciplinary-research-and-evidence-synthesis-explanation-and-application,Incubation,Drafted,capstone-decomposition-node-package,Synthetic,mastery-node-config,1,0,15,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,14,,,,
