Id,Label,FamilyId,FamilyLabel,Domain,GraphId,ImplementationState,NodeDirectory,SupportTier,MaturityState,SupportedProfiles,EvidenceClass,NodePackageShape,DependencyCount,DeclaredArtifactFileCount,ArtifactFileCount,StatusCount,Statuses,VerificationGateCount,VerificationGateTypes,FailureModeCount,DirectAccuracyThreshold,ExplanationRequired,TransferRequired,RetentionCheckDays
O1,O1 joint_attention_turn_taking_and_response_readiness,O,oral_language_and_listening,ela_literacy,master_knowledge_graph,seeded,o1-joint-attention-turn-taking-and-response-readiness,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,0,0,12,5,blocked|emerging|provisional|secure|unstable,3,direct_performance|transfer|retention,3,0.85,false,true,14
O2,O2 oral_language_comprehension_for_instructions_and_routines,O,oral_language_and_listening,ela_literacy,master_knowledge_graph,seeded,o2-oral-language-comprehension-for-instructions-and-routines,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,1,0,12,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,false,true,14
O3,O3 oral_recount_explanation_and_sequence_language,O,oral_language_and_listening,ela_literacy,master_knowledge_graph,seeded,o3-oral-recount-explanation-and-sequence-language,Core release,Drafted,literacy-entry-node-package,Synthetic,mastery-node-config,1,0,12,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,14
P1,P1 book_handling_print_awareness_and_directionality,P,print_concepts_and_symbol_control,ela_literacy,master_knowledge_graph,seeded,p1-book-handling-print-awareness-and-directionality,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,1,0,12,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,3,0.85,false,true,14
P2,P2 concept_of_word_spacing_and_text_tracking,P,print_concepts_and_symbol_control,ela_literacy,master_knowledge_graph,seeded,p2-concept-of-word-spacing-and-text-tracking,Core release,Drafted,literacy-entry-node-package,Synthetic,mastery-node-config,2,0,12,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,3,0.85,false,true,14
P3,P3 phonological_awareness,P,print_concepts_and_symbol_control,ela_literacy,master_knowledge_graph,seeded,p3-phonological-awareness,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,1,0,12,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,false,true,14
P4,P4 alphabet_knowledge_and_letter_formation,P,print_concepts_and_symbol_control,ela_literacy,master_knowledge_graph,seeded,p4-alphabet-knowledge-and-letter-formation,Core release,Drafted,literacy-entry-node-package,Synthetic,mastery-node-config,2,0,12,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,false,true,14
FR1,FR1 phoneme_grapheme_mapping,F,foundational_decoding_and_encoding,ela_literacy,master_knowledge_graph,seeded,fr1-phoneme-grapheme-mapping,Core release,Drafted,foundational-reading-node-package,Synthetic,mastery-node-config,2,0,12,5,blocked|emerging|provisional|secure|unstable,3,direct_performance|transfer|retention,4,0.85,false,true,14
FR2,FR2 print_encoding_principle_and_bidirectional_mapping,F,foundational_decoding_and_encoding,ela_literacy,master_knowledge_graph,seeded,fr2-print-encoding-principle-and-bidirectional-mapping,Core release,Drafted,foundational-reading-node-package,Synthetic,mastery-node-config,1,0,12,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,14
FR3,FR3 simple_pattern_decoding_and_encoding,F,foundational_decoding_and_encoding,ela_literacy,master_knowledge_graph,seeded,fr3-simple-pattern-decoding-and-encoding,Core release,Drafted,foundational-reading-node-package,Synthetic,mastery-node-config,1,0,12,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,14
FR4,FR4 word_level_decoding_generalization,F,foundational_decoding_and_encoding,ela_literacy,master_knowledge_graph,seeded,fr4-word-level-decoding-generalization,Core release,Drafted,foundational-reading-node-package,Synthetic,mastery-node-config,1,0,12,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,14
FR5,FR5 orthographic_consolidation_and_automatic_word_recognition,F,foundational_decoding_and_encoding,ela_literacy,master_knowledge_graph,seeded,fr5-orthographic-consolidation-and-automatic-word-recognition,Core release,Drafted,foundational-reading-node-package,Synthetic,mastery-node-config,1,0,12,5,blocked|emerging|provisional|secure|unstable,3,direct_performance|transfer|retention,4,0.9,false,true,21
FR6,FR6 connected_text_fluency_and_tracking,F,foundational_decoding_and_encoding,ela_literacy,master_knowledge_graph,seeded,fr6-connected-text-fluency-and-tracking,Core release,Drafted,foundational-reading-node-package,Synthetic,mastery-node-config,2,0,12,5,blocked|emerging|provisional|secure|unstable,3,direct_performance|transfer|retention,4,0.9,false,true,21
RC1,RC1 literal_comprehension_of_shared_text,R,reading_comprehension_and_analysis,ela_literacy,master_knowledge_graph,seeded,rc1-literal-comprehension-of-shared-text,Core release,Drafted,early-comprehension-node-package,Synthetic,mastery-node-config,2,0,12,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,14
RC2,RC2 inferential_and_integrative_comprehension_of_shared_text,R,reading_comprehension_and_analysis,ela_literacy,master_knowledge_graph,seeded,rc2-inferential-and-integrative-comprehension-of-shared-text,Core release,Drafted,early-comprehension-node-package,Synthetic,mastery-node-config,1,0,12,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,14
RC3,RC3 sentence_level_meaning_construction,R,reading_comprehension_and_analysis,ela_literacy,master_knowledge_graph,seeded,rc3-sentence-level-meaning-construction,Core release,Drafted,sentence-comprehension-node-package,Synthetic,mastery-node-config,2,0,12,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,14
RC4,RC4 short_passage_integration_and_local_coherence,R,reading_comprehension_and_analysis,ela_literacy,master_knowledge_graph,seeded,rc4-short-passage-integration-and-local-coherence,Core release,Drafted,passage-comprehension-node-package,Synthetic,mastery-node-config,2,0,12,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,14
RC5,RC5 evidence_selection_from_text,R,reading_comprehension_and_analysis,ela_literacy,master_knowledge_graph,seeded,rc5-evidence-selection-from-text,Core release,Drafted,text-response-node-package,Synthetic,mastery-node-config,2,0,12,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,14
RC6,RC6 evidence_explanation_and_text_grounded_response,R,reading_comprehension_and_analysis,ela_literacy,master_knowledge_graph,seeded,rc6-evidence-explanation-and-text-grounded-response,Core release,Drafted,text-response-node-package,Synthetic,mastery-node-config,1,0,12,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,14
R4,R4 literary_structure_theme_and_character_analysis,R,reading_comprehension_and_analysis,ela_literacy,master_knowledge_graph,seeded,r4-literary-structure-theme-and-character-analysis,Core release,Drafted,literary-analysis-node-package,Synthetic,mastery-node-config,1,0,12,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,14
R5,R5 informational_structure_author_claim_and_source_use,R,reading_comprehension_and_analysis,ela_literacy,master_knowledge_graph,seeded,r5-informational-structure-author-claim-and-source-use,Core release,Drafted,informational-analysis-node-package,Synthetic,mastery-node-config,1,0,12,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,14
R6,R6 disciplinary_literacy_rhetorical_analysis_and_cross_text_synthesis,R,reading_comprehension_and_analysis,ela_literacy,master_knowledge_graph,seeded,r6-disciplinary-literacy-rhetorical-analysis-and-cross-text-synthesis,Core release,Drafted,disciplinary-literacy-node-package,Synthetic,mastery-node-config,2,0,12,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,21
L1,L1 sentence_formation_and_basic_conventions,L,language_conventions_and_vocabulary,ela_literacy,master_knowledge_graph,seeded,l1-sentence-formation-and-basic-conventions,Core release,Drafted,early-language-node-package,Synthetic,mastery-node-config,2,0,12,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,14
L2,L2 morphology_word_meaning_and_academic_vocabulary,L,language_conventions_and_vocabulary,ela_literacy,master_knowledge_graph,seeded,l2-morphology-word-meaning-and-academic-vocabulary,Core release,Drafted,vocabulary-and-language-node-package,Synthetic,mastery-node-config,2,0,12,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,14
L3,L3 syntax_revision_and_style_control,L,language_conventions_and_vocabulary,ela_literacy,master_knowledge_graph,seeded,l3-syntax-revision-and-style-control,Core release,Drafted,language-revision-node-package,Synthetic,mastery-node-config,2,0,12,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,21
W1,W1 drawing_dictation_labeling_and_idea_capture,W,writing_and_composition,ela_literacy,master_knowledge_graph,seeded,w1-drawing-dictation-labeling-and-idea-capture,Core release,Drafted,early-writing-node-package,Synthetic,mastery-node-config,2,0,12,5,blocked|emerging|provisional|secure|unstable,4,direct_performance|meaning|transfer|retention,4,0.85,true,true,14
