record_type,domain,graph_id,family_id,family_name,node_id,node_name,node_slug,node_implementation_state,node_directory,support_tier,maturity_state,supported_profiles,evidence_class,node_package_shape,dependency_count,declared_artifact_file_count,artifact_file_count,status_count,statuses,verification_gate_count,verification_gate_types,failure_mode_count,direct_accuracy_threshold,explanation_required,transfer_required,retention_check_days,relationship_type,dependency_id,dependency_name,dependency_slug
node,ela_literacy,master_knowledge_graph,O,oral_language_and_listening,O1,joint_attention_turn_taking_and_response_readiness,o1-joint-attention-turn-taking-and-response-readiness,seeded,,,,,,,0,,,,,,,,,,,,,,,
node,ela_literacy,master_knowledge_graph,O,oral_language_and_listening,O2,oral_language_comprehension_for_instructions_and_routines,o2-oral-language-comprehension-for-instructions-and-routines,seeded,,,,,,,1,,,,,,,,,,,,,,,
dependency,ela_literacy,master_knowledge_graph,O,oral_language_and_listening,O2,oral_language_comprehension_for_instructions_and_routines,o2-oral-language-comprehension-for-instructions-and-routines,seeded,,,,,,,1,,,,,,,,,,,,DEPENDS_ON,O1,O1,o1
node,ela_literacy,master_knowledge_graph,O,oral_language_and_listening,O3,oral_recount_explanation_and_sequence_language,o3-oral-recount-explanation-and-sequence-language,seeded,,,,,,,1,,,,,,,,,,,,,,,
dependency,ela_literacy,master_knowledge_graph,O,oral_language_and_listening,O3,oral_recount_explanation_and_sequence_language,o3-oral-recount-explanation-and-sequence-language,seeded,,,,,,,1,,,,,,,,,,,,DEPENDS_ON,O2,O2,o2
node,ela_literacy,master_knowledge_graph,P,print_concepts_and_symbol_control,P1,book_handling_print_awareness_and_directionality,p1-book-handling-print-awareness-and-directionality,seeded,,,,,,,1,,,,,,,,,,,,,,,
dependency,ela_literacy,master_knowledge_graph,P,print_concepts_and_symbol_control,P1,book_handling_print_awareness_and_directionality,p1-book-handling-print-awareness-and-directionality,seeded,,,,,,,1,,,,,,,,,,,,DEPENDS_ON,O1,O1,o1
node,ela_literacy,master_knowledge_graph,P,print_concepts_and_symbol_control,P2,concept_of_word_spacing_and_text_tracking,p2-concept-of-word-spacing-and-text-tracking,seeded,,,,,,,2,,,,,,,,,,,,,,,
dependency,ela_literacy,master_knowledge_graph,P,print_concepts_and_symbol_control,P2,concept_of_word_spacing_and_text_tracking,p2-concept-of-word-spacing-and-text-tracking,seeded,,,,,,,2,,,,,,,,,,,,DEPENDS_ON,P1,P1,p1
dependency,ela_literacy,master_knowledge_graph,P,print_concepts_and_symbol_control,P2,concept_of_word_spacing_and_text_tracking,p2-concept-of-word-spacing-and-text-tracking,seeded,,,,,,,2,,,,,,,,,,,,DEPENDS_ON,O2,O2,o2
node,ela_literacy,master_knowledge_graph,P,print_concepts_and_symbol_control,P3,phonological_awareness,p3-phonological-awareness,seeded,,,,,,,1,,,,,,,,,,,,,,,
dependency,ela_literacy,master_knowledge_graph,P,print_concepts_and_symbol_control,P3,phonological_awareness,p3-phonological-awareness,seeded,,,,,,,1,,,,,,,,,,,,DEPENDS_ON,O2,O2,o2
node,ela_literacy,master_knowledge_graph,P,print_concepts_and_symbol_control,P4,alphabet_knowledge_and_letter_formation,p4-alphabet-knowledge-and-letter-formation,seeded,,,,,,,2,,,,,,,,,,,,,,,
dependency,ela_literacy,master_knowledge_graph,P,print_concepts_and_symbol_control,P4,alphabet_knowledge_and_letter_formation,p4-alphabet-knowledge-and-letter-formation,seeded,,,,,,,2,,,,,,,,,,,,DEPENDS_ON,P1,P1,p1
dependency,ela_literacy,master_knowledge_graph,P,print_concepts_and_symbol_control,P4,alphabet_knowledge_and_letter_formation,p4-alphabet-knowledge-and-letter-formation,seeded,,,,,,,2,,,,,,,,,,,,DEPENDS_ON,P3,P3,p3
