node_id:ID(CapabilityNode),name,slug,domain,graph_id,family_id,family_name,implementation_state,node_directory,support_tier,maturity_state,supported_profiles:string[],evidence_class,node_package_shape,dependency_count:int,declared_artifact_file_count:int,artifact_file_count:int,status_count:int,statuses:string[],verification_gate_count:int,verification_gate_types:string[],failure_mode_count:int,direct_accuracy_threshold:float,explanation_required:boolean,transfer_required:boolean,retention_check_days:int,:LABEL
Z1,attention_to_quantity,z1-attention-to-quantity,mathematics,master_knowledge_graph,Z,zero_state_and_precounting,implemented,z1-attention-to-quantity,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,0,0,14,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.9,true,true,14,CapabilityNode;MathematicsNode
Z2,match_and_sort_objects,z2-match-and-sort-objects,mathematics,master_knowledge_graph,Z,zero_state_and_precounting,implemented,z2-match-and-sort-objects,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,1,0,14,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.9,true,true,14,CapabilityNode;MathematicsNode
Z3,pattern_and_sequence_readiness,z3-pattern-and-sequence-readiness,mathematics,master_knowledge_graph,Z,zero_state_and_precounting,implemented,z3-pattern-and-sequence-readiness,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,1,0,14,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.9,true,true,14,CapabilityNode;MathematicsNode
C1,stable_counting_sequence,c1-stable-counting-sequence,mathematics,master_knowledge_graph,C,counting_and_cardinality,implemented,c1-stable-counting-sequence,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,1,0,14,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.9,true,true,14,CapabilityNode;MathematicsNode
C2,one_to_one_correspondence,c2-one-to-one-correspondence,mathematics,master_knowledge_graph,C,counting_and_cardinality,implemented,c2-one-to-one-correspondence,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,1,0,14,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.9,true,true,14,CapabilityNode;MathematicsNode
C3,cardinality,c3-cardinality,mathematics,master_knowledge_graph,C,counting_and_cardinality,implemented,c3-cardinality,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,1,0,14,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.9,true,true,14,CapabilityNode;MathematicsNode
C4,compare_small_quantities,c4-compare-small-quantities,mathematics,master_knowledge_graph,C,counting_and_cardinality,implemented,c4-compare-small-quantities,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,1,0,14,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.9,true,true,14,CapabilityNode;MathematicsNode
C5,numeral_recognition_and_writing_readiness,c5-numeral-recognition-and-writing-readiness,mathematics,master_knowledge_graph,C,counting_and_cardinality,implemented,c5-numeral-recognition-and-writing-readiness,Core release,Drafted,upstream-readiness-node-package,,artifact-index-config,1,13,14,0,,0,,0,,,,,CapabilityNode;MathematicsNode
C6,quantity_symbol_correspondence,c6-quantity-symbol-correspondence,mathematics,master_knowledge_graph,C,counting_and_cardinality,implemented,c6-quantity-symbol-correspondence,Core release,Drafted,upstream-readiness-node-package,,artifact-index-config,2,13,14,0,,0,,0,,,,,CapabilityNode;MathematicsNode
N1,compose_and_decompose_small_numbers,n1-compose-and-decompose-small-numbers,mathematics,master_knowledge_graph,N,whole_number_and_operations,implemented,n1-compose-and-decompose-small-numbers,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,1,0,14,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.9,true,true,14,CapabilityNode;MathematicsNode
N2,addition_and_subtraction_meaning,n2-addition-and-subtraction-meaning,mathematics,master_knowledge_graph,N,whole_number_and_operations,implemented,n2-addition-and-subtraction-meaning,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,1,0,14,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.9,true,true,14,CapabilityNode;MathematicsNode
N3,count_on_and_count_back,n3-count-on-and-count-back,mathematics,master_knowledge_graph,N,whole_number_and_operations,implemented,n3-count-on-and-count-back,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,1,0,14,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.9,true,true,14,CapabilityNode;MathematicsNode
N4,fluency_foundations,n4-fluency-foundations,mathematics,master_knowledge_graph,N,whole_number_and_operations,implemented,n4-fluency-foundations,Core release,Drafted,upstream-readiness-node-package,Synthetic,mastery-node-config,2,0,14,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.92,true,true,21,CapabilityNode;MathematicsNode
