node_id:ID(CapabilityNode),name,slug,domain,graph_id,family_id,family_name,implementation_state,node_directory,support_tier,maturity_state,supported_profiles:string[],evidence_class,node_package_shape,dependency_count:int,declared_artifact_file_count:int,artifact_file_count:int,status_count:int,statuses:string[],verification_gate_count:int,verification_gate_types:string[],failure_mode_count:int,direct_accuracy_threshold:float,explanation_required:boolean,transfer_required:boolean,retention_check_days:int,:LABEL
A1,interdisciplinary_research_and_evidence_synthesis,a1-interdisciplinary-research-and-evidence-synthesis,social_studies,master_knowledge_graph,A,advanced_secondary_synthesis_and_public_argument,drafted,a1-interdisciplinary-research-and-evidence-synthesis,Incubation,Drafted,social-studies-interdisciplinary-synthesis-node-package,Synthetic,mastery-node-config,5,0,15,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.85,true,true,14,CapabilityNode;SocialStudiesNode
A1A,interdisciplinary_research_and_evidence_synthesis_foundations_and_examples,a1a-interdisciplinary-research-and-evidence-synthesis-foundations-and-examples,social_studies,master_knowledge_graph,A,advanced_secondary_synthesis_and_public_argument,drafted,a1a-interdisciplinary-research-and-evidence-synthesis-foundations-and-examples,Incubation,Drafted,capstone-decomposition-node-package,Synthetic,mastery-node-config,0,0,15,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.85,true,true,14,CapabilityNode;SocialStudiesNode
A1B,interdisciplinary_research_and_evidence_synthesis_classification_and_organization,a1b-interdisciplinary-research-and-evidence-synthesis-classification-and-organization,social_studies,master_knowledge_graph,A,advanced_secondary_synthesis_and_public_argument,drafted,a1b-interdisciplinary-research-and-evidence-synthesis-classification-and-organization,Incubation,Drafted,capstone-decomposition-node-package,Synthetic,mastery-node-config,1,0,15,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.85,true,true,14,CapabilityNode;SocialStudiesNode
A1C,interdisciplinary_research_and_evidence_synthesis_explanation_and_application,a1c-interdisciplinary-research-and-evidence-synthesis-explanation-and-application,social_studies,master_knowledge_graph,A,advanced_secondary_synthesis_and_public_argument,drafted,a1c-interdisciplinary-research-and-evidence-synthesis-explanation-and-application,Incubation,Drafted,capstone-decomposition-node-package,Synthetic,mastery-node-config,1,0,15,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.85,true,true,14,CapabilityNode;SocialStudiesNode
A2,capstone_argument_modeling_and_public_communication,a2-capstone-argument-modeling-and-public-communication,social_studies,master_knowledge_graph,A,advanced_secondary_synthesis_and_public_argument,drafted,a2-capstone-argument-modeling-and-public-communication,Incubation,Drafted,social-studies-capstone-public-argument-node-package,Synthetic,mastery-node-config,5,0,15,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.85,true,true,14,CapabilityNode;SocialStudiesNode
A2A,capstone_argument_modeling_and_public_communication_foundations_and_examples,a2a-capstone-argument-modeling-and-public-communication-foundations-and-examples,social_studies,master_knowledge_graph,A,advanced_secondary_synthesis_and_public_argument,drafted,a2a-capstone-argument-modeling-and-public-communication-foundations-and-examples,Incubation,Drafted,capstone-decomposition-node-package,Synthetic,mastery-node-config,0,0,15,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.85,true,true,14,CapabilityNode;SocialStudiesNode
A2B,capstone_argument_modeling_and_public_communication_classification_and_organization,a2b-capstone-argument-modeling-and-public-communication-classification-and-organization,social_studies,master_knowledge_graph,A,advanced_secondary_synthesis_and_public_argument,drafted,a2b-capstone-argument-modeling-and-public-communication-classification-and-organization,Incubation,Drafted,capstone-decomposition-node-package,Synthetic,mastery-node-config,1,0,15,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.85,true,true,14,CapabilityNode;SocialStudiesNode
A2C,capstone_argument_modeling_and_public_communication_explanation_and_application,a2c-capstone-argument-modeling-and-public-communication-explanation-and-application,social_studies,master_knowledge_graph,A,advanced_secondary_synthesis_and_public_argument,drafted,a2c-capstone-argument-modeling-and-public-communication-explanation-and-application,Incubation,Drafted,capstone-decomposition-node-package,Synthetic,mastery-node-config,1,0,15,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.85,true,true,14,CapabilityNode;SocialStudiesNode
C1,community_rules_roles_and_fairness,c1-community-rules-roles-and-fairness,social_studies,master_knowledge_graph,C,civics_and_collective_decision_making,drafted,c1-community-rules-roles-and-fairness,Incubation,Drafted,civics-entry-node-package,Synthetic,mastery-node-config,1,0,15,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.85,true,true,14,CapabilityNode;SocialStudiesNode
C1A,community_rules_roles_and_fairness_foundations_and_examples,c1a-community-rules-roles-and-fairness-foundations-and-examples,social_studies,master_knowledge_graph,C,civics_and_collective_decision_making,drafted,c1a-community-rules-roles-and-fairness-foundations-and-examples,Incubation,Drafted,civics-decomposition-node-package,Synthetic,mastery-node-config,0,0,15,5,blocked;emerging;provisional;secure;unstable,4,direct_performance;meaning;transfer;retention,4,0.85,true,true,14,CapabilityNode;SocialStudiesNode
