node_id:ID(CapabilityNode),name,slug,domain,graph_id,family_id,family_name,:LABEL
O1,joint_attention_turn_taking_and_response_readiness,o1-joint-attention-turn-taking-and-response-readiness,ela_literacy,master_knowledge_graph,O,oral_language_and_listening,CapabilityNode;ElaLiteracyNode
O2,oral_language_comprehension_for_instructions_and_routines,o2-oral-language-comprehension-for-instructions-and-routines,ela_literacy,master_knowledge_graph,O,oral_language_and_listening,CapabilityNode;ElaLiteracyNode
O3,oral_recount_explanation_and_sequence_language,o3-oral-recount-explanation-and-sequence-language,ela_literacy,master_knowledge_graph,O,oral_language_and_listening,CapabilityNode;ElaLiteracyNode
P1,book_handling_print_awareness_and_directionality,p1-book-handling-print-awareness-and-directionality,ela_literacy,master_knowledge_graph,P,print_concepts_and_symbol_control,CapabilityNode;ElaLiteracyNode
P2,concept_of_word_spacing_and_text_tracking,p2-concept-of-word-spacing-and-text-tracking,ela_literacy,master_knowledge_graph,P,print_concepts_and_symbol_control,CapabilityNode;ElaLiteracyNode
P3,phonological_awareness,p3-phonological-awareness,ela_literacy,master_knowledge_graph,P,print_concepts_and_symbol_control,CapabilityNode;ElaLiteracyNode
P4,alphabet_knowledge_and_letter_formation,p4-alphabet-knowledge-and-letter-formation,ela_literacy,master_knowledge_graph,P,print_concepts_and_symbol_control,CapabilityNode;ElaLiteracyNode
FR1,phoneme_grapheme_mapping,fr1-phoneme-grapheme-mapping,ela_literacy,master_knowledge_graph,F,foundational_decoding_and_encoding,CapabilityNode;ElaLiteracyNode
FR2,print_encoding_principle_and_bidirectional_mapping,fr2-print-encoding-principle-and-bidirectional-mapping,ela_literacy,master_knowledge_graph,F,foundational_decoding_and_encoding,CapabilityNode;ElaLiteracyNode
FR3,simple_pattern_decoding_and_encoding,fr3-simple-pattern-decoding-and-encoding,ela_literacy,master_knowledge_graph,F,foundational_decoding_and_encoding,CapabilityNode;ElaLiteracyNode
FR4,word_level_decoding_generalization,fr4-word-level-decoding-generalization,ela_literacy,master_knowledge_graph,F,foundational_decoding_and_encoding,CapabilityNode;ElaLiteracyNode
FR5,orthographic_consolidation_and_automatic_word_recognition,fr5-orthographic-consolidation-and-automatic-word-recognition,ela_literacy,master_knowledge_graph,F,foundational_decoding_and_encoding,CapabilityNode;ElaLiteracyNode
FR6,connected_text_fluency_and_tracking,fr6-connected-text-fluency-and-tracking,ela_literacy,master_knowledge_graph,F,foundational_decoding_and_encoding,CapabilityNode;ElaLiteracyNode
RC1,literal_comprehension_of_shared_text,rc1-literal-comprehension-of-shared-text,ela_literacy,master_knowledge_graph,R,reading_comprehension_and_analysis,CapabilityNode;ElaLiteracyNode
RC2,inferential_and_integrative_comprehension_of_shared_text,rc2-inferential-and-integrative-comprehension-of-shared-text,ela_literacy,master_knowledge_graph,R,reading_comprehension_and_analysis,CapabilityNode;ElaLiteracyNode
RC3,sentence_level_meaning_construction,rc3-sentence-level-meaning-construction,ela_literacy,master_knowledge_graph,R,reading_comprehension_and_analysis,CapabilityNode;ElaLiteracyNode
RC4,short_passage_integration_and_local_coherence,rc4-short-passage-integration-and-local-coherence,ela_literacy,master_knowledge_graph,R,reading_comprehension_and_analysis,CapabilityNode;ElaLiteracyNode
